school_name,district_name,county_name,grade_12_enrollment,total_num_test_takers,num_erw_benchmark,pct_erw_benchmark,num_math_benchmark,pct_math_benchmark,num_test_takers_benchmark,perc_participation,pct_test_takers_benchmark,year
Morro Bay High,San Luis Coastal Unified,San Luis Obispo,197.0,49.0,46.0,93.88,37.0,75.51,37.0,24.873096446700508,75.51,2018-19
Minarets High,Chawanakee Unified,Madera,36.0,20.0,13.0,65.0,7.0,35.0,7.0,55.55555555555556,35.0,2018-19
Sheldon High,Elk Grove Unified,Sacramento,614.0,217.0,170.0,78.34,115.0,53.0,111.0,35.34201954397394,51.15,2018-19
Orange Glen High,Escondido Union High,San Diego,497.0,127.0,83.0,65.35,40.0,31.5,38.0,25.553319919517104,29.92,2018-19
Steele Canyon High,Grossmont Union High,San Diego,511.0,219.0,188.0,85.84,152.0,69.41,142.0,42.857142857142854,64.84,2018-19
Fountain Valley High,Huntington Beach Union High,Orange,805.0,335.0,307.0,91.64,283.0,84.48,270.0,41.61490683229814,80.6,2018-19
Indio High,Desert Sands Unified,Riverside,517.0,174.0,82.0,47.13,23.0,13.22,23.0,33.65570599613153,13.22,2018-19
Buchanan High,Clovis Unified,Fresno,667.0,299.0,268.0,89.63,193.0,64.55,189.0,44.827586206896555,63.21,2018-19
California Virtual Academy @ Los Angeles,West Covina Unified,Los Angeles,329.0,22.0,17.0,77.27,7.0,31.82,7.0,6.68693009118541,31.82,2018-19
Leigh High,Campbell Union High,Santa Clara,415.0,165.0,153.0,92.73,129.0,78.18,127.0,39.75903614457831,76.97,2018-19
Winters High,Winters Joint Unified,Yolo,102.0,31.0,24.0,77.42,16.0,51.61,16.0,30.392156862745097,51.61,2018-19
Durham High,Durham Unified,Butte,72.0,31.0,30.0,96.77,21.0,67.74,21.0,43.05555555555556,67.74,2018-19
TEACH Tech Charter High,Los Angeles Unified,Los Angeles,70.0,46.0,10.0,21.74,7.0,15.22,6.0,65.71428571428571,13.04,2018-19
Canyon Springs High,Moreno Valley Unified,Riverside,494.0,439.0,193.0,43.96,80.0,18.22,75.0,88.8663967611336,17.08,2018-19
KIPP San Jose Collegiate,East Side Union High,Santa Clara,112.0,46.0,36.0,78.26,27.0,58.7,26.0,41.07142857142857,56.52,2018-19
Luis Valdez Leadership Academy,East Side Union High,Santa Clara,102.0,34.0,8.0,23.53,3.0,8.82,3.0,33.33333333333333,8.82,2018-19
Evergreen Valley High,East Side Union High,Santa Clara,712.0,344.0,316.0,91.86,295.0,85.76,287.0,48.31460674157304,83.43,2018-19
Redwood High,Visalia Unified,Tulare,494.0,142.0,116.0,81.69,79.0,55.63,77.0,28.74493927125506,54.23,2018-19
Collegiate Charter High of Los Angeles,Los Angeles Unified,Los Angeles,34.0,34.0,21.0,61.76,15.0,44.12,14.0,100.0,41.18,2018-19
Valley High,Santa Ana Unified,Orange,466.0,407.0,103.0,25.31,49.0,12.04,39.0,87.33905579399142,9.58,2018-19
Vista Nueva Career and Technology High,Twin Rivers Unified,Sacramento,107.0,45.0,3.0,6.67,4.0,8.89,1.0,42.05607476635514,2.22,2018-19
Torrey Pines High,San Dieguito Union High,San Diego,627.0,175.0,167.0,95.43,155.0,88.57,151.0,27.91068580542265,86.29,2018-19
Templeton High,Templeton Unified,San Luis Obispo,171.0,52.0,47.0,90.38,32.0,61.54,32.0,30.409356725146196,61.54,2018-19
Montgomery Senior High,Sweetwater Union High,San Diego,452.0,121.0,73.0,60.33,42.0,34.71,39.0,26.769911504424783,32.23,2018-19
Mission Vista High,Vista Unified,San Diego,391.0,182.0,155.0,85.16,130.0,71.43,124.0,46.547314578005114,68.13,2018-19
Sonoma Valley High,Sonoma Valley Unified,Sonoma,279.0,91.0,71.0,78.02,53.0,58.24,50.0,32.61648745519714,54.95,2018-19
Jordan High,Long Beach Unified,Los Angeles,606.0,463.0,113.0,24.41,52.0,11.23,44.0,76.4026402640264,9.5,2018-19
Mira Costa High,Manhattan Beach Unified,Los Angeles,594.0,205.0,202.0,98.54,179.0,87.32,179.0,34.51178451178451,87.32,2018-19
Murrieta Mesa High,Murrieta Valley Unified,Riverside,574.0,225.0,173.0,76.89,125.0,55.56,120.0,39.198606271777,53.33,2018-19
Gunderson High,San Jose Unified,Santa Clara,246.0,49.0,43.0,87.76,31.0,63.27,31.0,19.91869918699187,63.27,2018-19
Ventura High,Ventura Unified,Ventura,480.0,119.0,104.0,87.39,77.0,64.71,76.0,24.791666666666668,63.87,2018-19
Burton (Phillip and Sala) Academic High,San Francisco Unified,San Francisco,248.0,140.0,74.0,52.86,51.0,36.43,41.0,56.451612903225815,29.29,2018-19
Burroughs High,Burbank Unified,Los Angeles,584.0,291.0,245.0,84.19,206.0,70.79,195.0,49.82876712328767,67.01,2018-19
Inspire School of Arts and Sciences,Chico Unified,Butte,94.0,22.0,21.0,95.45,17.0,77.27,17.0,23.404255319148938,77.27,2018-19
Design Science Middle College High,Fresno Unified,Fresno,63.0,60.0,52.0,86.67,35.0,58.33,32.0,95.23809523809523,53.33,2018-19
South High,Kern High,Kern,508.0,152.0,76.0,50.0,45.0,29.61,37.0,29.92125984251969,24.34,2018-19
West High,Kern High,Kern,537.0,122.0,63.0,51.64,34.0,27.87,31.0,22.71880819366853,25.41,2018-19
Vaughn Next Century Learning Center,Los Angeles Unified,Los Angeles,157.0,102.0,50.0,49.02,23.0,22.55,22.0,64.96815286624204,21.57,2018-19
Saugus High,William S. Hart Union High,Los Angeles,546.0,202.0,181.0,89.6,144.0,71.29,139.0,36.996336996337,68.81,2018-19
Academy of the Canyons,William S. Hart Union High,Los Angeles,104.0,51.0,48.0,94.12,43.0,84.31,43.0,49.03846153846153,84.31,2018-19
Lighthouse Community Charter High,Oakland Unified,Alameda,64.0,43.0,25.0,58.14,14.0,32.56,13.0,67.1875,30.23,2018-19
Central Union High,Central Union High,Imperial,403.0,91.0,64.0,70.33,40.0,43.96,38.0,22.58064516129032,41.76,2018-19
Magnolia Science Academy 4,Los Angeles Unified,Los Angeles,43.0,25.0,9.0,36.0,3.0,12.0,3.0,58.139534883720934,12.0,2018-19
Sun Valley High,Los Angeles Unified,Los Angeles,85.0,54.0,10.0,18.52,1.0,1.85,0.0,63.52941176470588,0.0,2018-19
Deer Valley High,Antioch Unified,Contra Costa,533.0,118.0,84.0,71.19,67.0,56.78,59.0,22.138836772983115,50.0,2018-19
Kelseyville High,Kelseyville Unified,Lake,124.0,45.0,31.0,68.89,14.0,31.11,14.0,36.29032258064516,31.11,2018-19
Lower Lake High,Konocti Unified,Lake,121.0,33.0,24.0,72.73,7.0,21.21,7.0,27.27272727272727,21.21,2018-19
William & Marian Ghidotti High,Nevada Joint Union High,Nevada,45.0,32.0,32.0,100.0,32.0,100.0,32.0,71.11111111111111,100.0,2018-19
Irvine High,Irvine Unified,Orange,533.0,168.0,156.0,92.86,152.0,90.48,144.0,31.51969981238274,85.71,2018-19
Chaparral High,Temecula Valley Unified,Riverside,722.0,287.0,237.0,82.58,167.0,58.19,161.0,39.75069252077562,56.1,2018-19
Chula Vista Learning Community Charter,Chula Vista Elementary,San Diego,99.0,74.0,58.0,78.38,20.0,27.03,20.0,74.74747474747475,27.03,2018-19
Desert Junior-Senior High,Muroc Joint Unified,Kern,84.0,30.0,28.0,93.33,19.0,63.33,18.0,35.714285714285715,60.0,2018-19
Crescenta Valley High,Glendale Unified,Los Angeles,631.0,266.0,253.0,95.11,233.0,87.59,228.0,42.15530903328051,85.71,2018-19
Marina High,Monterey Peninsula Unified,Monterey,145.0,78.0,58.0,74.36,32.0,41.03,31.0,53.79310344827586,39.74,2018-19
Gorman Learning Center,Gorman Joint,Los Angeles,113.0,25.0,22.0,88.0,12.0,48.0,12.0,22.123893805309734,48.0,2018-19
City Honors College Preparatory Academy,Inglewood Unified,Los Angeles,95.0,47.0,24.0,51.06,10.0,21.28,10.0,49.473684210526315,21.28,2018-19
La Puente High,Hacienda la Puente Unified,Los Angeles,254.0,193.0,83.0,43.01,47.0,24.35,42.0,75.98425196850394,21.76,2018-19
William Workman High,Hacienda la Puente Unified,Los Angeles,229.0,206.0,76.0,36.89,39.0,18.93,32.0,89.95633187772926,15.53,2018-19
Paloma Valley High,Perris Union High,Riverside,717.0,256.0,185.0,72.27,111.0,43.36,102.0,35.70432357043236,39.84,2018-19
Reedley Middle College High,Kings Canyon Joint Unified,Fresno,34.0,22.0,12.0,54.55,7.0,31.82,6.0,64.70588235294117,27.27,2018-19
La Canada High,La Canada Unified,Los Angeles,346.0,170.0,163.0,95.88,158.0,92.94,156.0,49.13294797687861,91.76,2018-19
John F. Kennedy High,Fremont Unified,Alameda,310.0,124.0,99.0,79.84,71.0,57.26,68.0,40.0,54.84,2018-19
Lassen High,Lassen Union High,Lassen,188.0,40.0,32.0,80.0,17.0,42.5,16.0,21.27659574468085,40.0,2018-19
Da Vinci Design,Wiseburn Unified,Los Angeles,164.0,47.0,33.0,70.21,11.0,23.4,10.0,28.65853658536585,21.28,2018-19
Leadership Public Schools - Hayward,Hayward Unified,Alameda,140.0,106.0,70.0,66.04,56.0,52.83,51.0,75.71428571428571,48.11,2018-19
Fortuna Union High,Fortuna Union High,Humboldt,183.0,56.0,41.0,73.21,29.0,51.79,27.0,30.601092896174865,48.21,2018-19
Animo South Los Angeles Charter,Los Angeles Unified,Los Angeles,133.0,42.0,15.0,35.71,7.0,16.67,6.0,31.57894736842105,14.29,2018-19
High Tech High Chula Vista,SBC - High Tech High,San Diego,147.0,91.0,59.0,64.84,20.0,21.98,19.0,61.904761904761905,20.88,2018-19
Skyline High,Oakland Unified,Alameda,398.0,138.0,86.0,62.32,46.0,33.33,43.0,34.67336683417086,31.16,2018-19
Fort Bragg High,Fort Bragg Unified,Mendocino,107.0,30.0,27.0,90.0,18.0,60.0,18.0,28.037383177570092,60.0,2018-19
Bolsa Grande High,Garden Grove Unified,Orange,477.0,245.0,185.0,75.51,142.0,57.96,130.0,51.36268343815513,53.06,2018-19
C. K. McClatchy High,Sacramento City Unified,Sacramento,504.0,113.0,92.0,81.42,68.0,60.18,64.0,22.42063492063492,56.64,2018-19
