school_name,district_name,county_name,grade_12_enrollment,total_num_test_takers,avg_reading,avg_english,avg_math,avg_science,num_test_takers_21,perc_participation,pct_test_takers_21,year
N/A,Monterey Peninsula Unified,Monterey,854.0,90.0,22.0,21.0,22.0,21.0,50.0,10.53864168618267,55.56,2018-19
N/A,Pacific Grove Unified,Monterey,151.0,31.0,26.0,27.0,26.0,26.0,26.0,20.52980132450331,83.87,2018-19
N/A,Salinas Union High,Monterey,2683.0,516.0,19.0,18.0,19.0,19.0,168.0,19.2322027581066,32.56,2018-19
N/A,North Monterey County Unified,Monterey,369.0,42.0,19.0,17.0,18.0,20.0,10.0,11.38211382113821,23.81,2018-19
N/A,Soledad Unified,Monterey,403.0,69.0,18.0,16.0,17.0,18.0,14.0,17.121588089330025,20.29,2018-19
N/A,Gonzales Unified,Monterey,191.0,63.0,17.0,17.0,17.0,17.0,11.0,32.98429319371728,17.46,2018-19
N/A,Napa Valley Unified,Napa,1513.0,168.0,22.0,22.0,22.0,22.0,106.0,11.103767349636485,63.1,2018-19
N/A,Saint Helena Unified,Napa,121.0,28.0,25.0,26.0,22.0,23.0,24.0,23.140495867768596,85.71,2018-19
N/A,Nevada Joint Union High,Nevada,700.0,63.0,25.0,24.0,25.0,24.0,48.0,9.0,76.19,2018-19
N/A,Orange County Department of Education,Orange,708.0,35.0,23.0,22.0,21.0,21.0,18.0,4.943502824858757,51.43,2018-19
N/A,Anaheim Union High,Orange,5479.0,458.0,23.0,22.0,22.0,22.0,255.0,8.359189633144734,55.68,2018-19
N/A,Brea-Olinda Unified,Orange,506.0,121.0,26.0,26.0,26.0,26.0,109.0,23.91304347826087,90.08,2018-19
N/A,Capistrano Unified,Orange,4805.0,1455.0,26.0,26.0,26.0,25.0,1233.0,30.280957336108223,84.74,2018-19
N/A,Fullerton Joint Union High,Orange,3550.0,519.0,26.0,26.0,26.0,25.0,419.0,14.619718309859156,80.73,2018-19
N/A,Garden Grove Unified,Orange,3627.0,615.0,22.0,22.0,22.0,21.0,349.0,16.95616211745244,56.75,2018-19
N/A,Huntington Beach Union High,Orange,4150.0,584.0,25.0,25.0,25.0,24.0,459.0,14.072289156626505,78.6,2018-19
N/A,Laguna Beach Unified,Orange,295.0,165.0,26.0,27.0,26.0,26.0,149.0,55.932203389830505,90.3,2018-19
N/A,Newport-Mesa Unified,Orange,1817.0,628.0,26.0,26.0,25.0,25.0,485.0,34.562465602641716,77.23,2018-19
N/A,Orange Unified,Orange,2261.0,255.0,25.0,25.0,24.0,24.0,196.0,11.278195488721805,76.86,2018-19
N/A,Placentia-Yorba Linda Unified,Orange,2162.0,436.0,24.0,23.0,24.0,23.0,297.0,20.166512488436634,68.12,2018-19
N/A,Santa Ana Unified,Orange,4128.0,1162.0,20.0,19.0,20.0,19.0,410.0,28.149224806201552,35.28,2018-19
N/A,Saddleback Valley Unified,Orange,2410.0,479.0,25.0,25.0,25.0,25.0,372.0,19.87551867219917,77.66,2018-19
N/A,Tustin Unified,Orange,1992.0,544.0,25.0,25.0,25.0,24.0,403.0,27.309236947791167,74.08,2018-19
N/A,Irvine Unified,Orange,2552.0,780.0,28.0,29.0,29.0,28.0,717.0,30.56426332288401,91.92,2018-19
N/A,Los Alamitos Unified,Orange,759.0,262.0,26.0,27.0,26.0,25.0,214.0,34.51910408432148,81.68,2018-19
N/A,Placer Union High,Placer,1002.0,213.0,24.0,23.0,24.0,24.0,151.0,21.25748502994012,70.89,2018-19
N/A,Roseville Joint Union High,Placer,2555.0,611.0,25.0,24.0,24.0,24.0,474.0,23.91389432485323,77.58,2018-19
N/A,Tahoe-Truckee Unified,Placer,303.0,78.0,26.0,25.0,25.0,25.0,66.0,25.742574257425744,84.62,2018-19
N/A,Western Placer Unified,Placer,745.0,65.0,24.0,23.0,21.0,23.0,41.0,8.724832214765101,63.08,2018-19
N/A,Rocklin Unified,Placer,1171.0,311.0,25.0,25.0,24.0,24.0,248.0,26.558497011101622,79.74,2018-19
N/A,Alvord Unified,Riverside,1517.0,141.0,19.0,18.0,19.0,19.0,44.0,9.294660514172708,31.21,2018-19
N/A,Banning Unified,Riverside,358.0,51.0,18.0,17.0,18.0,18.0,13.0,14.24581005586592,25.49,2018-19
N/A,Beaumont Unified,Riverside,735.0,48.0,22.0,20.0,20.0,21.0,23.0,6.530612244897959,47.92,2018-19
N/A,Corona-Norco Unified,Riverside,4488.0,757.0,22.0,21.0,21.0,21.0,410.0,16.867201426024955,54.16,2018-19
N/A,Desert Sands Unified,Riverside,2493.0,226.0,22.0,21.0,20.0,21.0,109.0,9.06538307260329,48.23,2018-19
N/A,Hemet Unified,Riverside,1858.0,142.0,21.0,19.0,19.0,20.0,62.0,7.642626480086114,43.66,2018-19
N/A,Jurupa Unified,Riverside,1486.0,210.0,19.0,18.0,18.0,19.0,56.0,14.131897711978466,26.67,2018-19
N/A,Menifee Union Elementary,Riverside,113.0,18.0,24.0,24.0,23.0,23.0,13.0,15.929203539823009,72.22,2018-19
N/A,Moreno Valley Unified,Riverside,2481.0,227.0,20.0,19.0,19.0,19.0,73.0,9.149536477226924,32.16,2018-19
N/A,Nuview Union ,Riverside,157.0,169.0,19.0,17.0,20.0,19.0,58.0,107.64331210191082,34.32,2018-19
N/A,Palm Springs Unified,Riverside,1777.0,232.0,19.0,18.0,18.0,19.0,63.0,13.05571187394485,27.16,2018-19
N/A,Perris Union High,Riverside,2224.0,383.0,19.0,18.0,18.0,18.0,109.0,17.221223021582734,28.46,2018-19
N/A,Riverside Unified,Riverside,3434.0,583.0,21.0,20.0,21.0,21.0,272.0,16.977285963890505,46.66,2018-19
N/A,San Jacinto Unified,Riverside,859.0,34.0,19.0,19.0,18.0,18.0,8.0,3.958090803259604,23.53,2018-19
N/A,Coachella Valley Unified,Riverside,1244.0,204.0,18.0,16.0,18.0,18.0,36.0,16.39871382636656,17.65,2018-19
N/A,Lake Elsinore Unified,Riverside,1608.0,169.0,20.0,19.0,19.0,20.0,67.0,10.509950248756219,39.64,2018-19
N/A,Temecula Valley Unified,Riverside,2453.0,629.0,23.0,23.0,22.0,23.0,416.0,25.642070933550755,66.14,2018-19
N/A,Murrieta Valley Unified,Riverside,2168.0,459.0,23.0,22.0,22.0,22.0,288.0,21.171586715867157,62.75,2018-19
N/A,Val Verde Unified,Riverside,1641.0,41.0,20.0,19.0,19.0,19.0,14.0,2.4984765386959173,34.15,2018-19
N/A,Elk Grove Unified,Sacramento,5228.0,919.0,23.0,22.0,23.0,22.0,570.0,17.578423871461364,62.02,2018-19
N/A,Folsom-Cordova Unified,Sacramento,1617.0,259.0,27.0,26.0,26.0,26.0,219.0,16.017316017316016,84.56,2018-19
N/A,Galt Joint Union High,Sacramento,567.0,58.0,21.0,20.0,21.0,20.0,29.0,10.229276895943562,50.0,2018-19
N/A,River Delta Joint Unified,Sacramento,173.0,27.0,20.0,19.0,19.0,19.0,10.0,15.606936416184972,37.04,2018-19
N/A,Sacramento City Unified,Sacramento,3244.0,468.0,21.0,20.0,20.0,20.0,196.0,14.426633785450061,41.88,2018-19
N/A,San Juan Unified,Sacramento,4487.0,456.0,24.0,23.0,23.0,23.0,295.0,10.162692221974593,64.69,2018-19
N/A,Natomas Unified,Sacramento,1130.0,772.0,17.0,16.0,17.0,17.0,162.0,68.31858407079646,20.98,2018-19
N/A,Twin Rivers Unified,Sacramento,2234.0,91.0,20.0,18.0,19.0,19.0,35.0,4.073410922112802,38.46,2018-19
N/A,San Benito High,San Benito,807.0,118.0,21.0,20.0,21.0,21.0,52.0,14.622057001239158,44.07,2018-19
N/A,Barstow Unified,San Bernardino,394.0,26.0,18.0,17.0,19.0,19.0,8.0,6.598984771573605,30.77,2018-19
N/A,Chaffey Joint Union High,San Bernardino,6046.0,796.0,21.0,20.0,21.0,21.0,370.0,13.165729407872973,46.48,2018-19
N/A,Chino Valley Unified,San Bernardino,2434.0,250.0,25.0,24.0,24.0,24.0,183.0,10.271158586688578,73.2,2018-19
N/A,Colton Joint Unified,San Bernardino,1621.0,126.0,19.0,19.0,19.0,20.0,46.0,7.772979642196175,36.51,2018-19
N/A,Fontana Unified,San Bernardino,2941.0,2562.0,16.0,14.0,16.0,16.0,282.0,87.11322679360761,11.01,2018-19
N/A,Morongo Unified,San Bernardino,565.0,16.0,25.0,24.0,25.0,23.0,13.0,2.831858407079646,81.25,2018-19
N/A,Oro Grande,San Bernardino,647.0,17.0,18.0,18.0,17.0,19.0,5.0,2.627511591962906,29.41,2018-19
N/A,Redlands Unified,San Bernardino,1842.0,174.0,24.0,24.0,24.0,23.0,120.0,9.446254071661238,68.97,2018-19
